Title,Statement,Link,Tag
Car-pal Tunnel ,"There is a straight road that passes through N short tunnels. At the entrance to the first tunnel, there are C cars lined up in a row waiting to enter the series of tunnels. The distance between each pair of consecutive tunnels is D metres (the lengths of each tunnel and each car are negligible) and the velocity of each car is S metres per second. Each tunnel contains a toll booth. In the i-th tunnel (1 ≤ i ≤ N), processing a car at the toll booth takes Ai seconds. Only one car can be processed at the same time. If there are multiple cars in the tunnel, they all have to wait for the first car to be processed; afterwards, the first car exits the tunnel, the second car starts being processed and all remaining cars have to wait again, etc. Whenever a car arrives in a tunnel, it has to wait at that tunnel's toll booth until all previous cars have been processed and then get processed itself. The road and the tunnels are too narrow, so cars can't overtake each other at any time during the journey. Chef is after Reziba once again. Reziba's car is the first car to enter the tunnels, while Chef's car is the last car to enter the tunnels. Compute the final delay (in seconds) between the first (Reziba's) car and the last (Chef's) car immediately after Chef's car exits the last tunnel, i.e. after all the cars have passed through the tunnels. This delay is equal to the distance between the first and the last car divided by the cars' velocity, or equivalently to the difference between the times when the last car and the first car exit the last tunnel. Tags: Basic Maths Mathematics ",https://www.codechef.com/problems/CARPTUN,CC
Dessert Wizard ,"It's finally summer in Chefland! So our chef is looking forward to prepare some of the best ""beat-the-heat"" dishes to attract more customers. He summons the Wizard of Dessert to help him with one such dish. The wizard provides the chef with a sequence of N ingredients where the ith ingredient has a delish value of D[i]. The preparation of the dish takes place in two phases. Phase 1 : The chef chooses two indices i and j and adds the ingredients i, i+1, ., j to his dish. He also finds the sum of the delish value in this range i.e D[i] + D[i+1] + . + D[j]. Phase 2 : The chef chooses two more indices k and l and adds the ingredients k, k+1, ., l to his dish. He also finds the sum of the delish value in this range i.e D[k] + D[k+1] + . + D[l]. Note that 1 ≤ i ≤ j < k ≤ l ≤ N. The total delish value of the dish is determined by the absolute difference between the values obtained in the two phases. Obviously, the chef wants to maximize the total delish value for his dish. So, he hires you to help him. Tags: Dynamic Programming Algorithms ",https://www.codechef.com/problems/DELISH,CC
Billiards ,"BILLIARDS is a really interesting game. It is played on a green baize with 3 balls-red, white and yellow. Sheldon and Leonard are playing a game of billiards. Sheldon is playing the game for the first time and is not familiar with the rules. So he asks Leonard to explain the rules to him. Leonard explains the rules to Sheldon in the following way: “A Cannon shot gives 2 points and an In-Off Shot gives 3 points.” Sheldon is curious, and wants to figure out that given a score X, in how many ways can he get that score by hitting a combination of Cannon and In-Off shots? Leonard is baffled when he is asked this question. Your task is to help Leonard in writing a program to compute the total number of ways one can score a total of X points by hitting any combination of Cannon and In-Off shots. The order in which the shots are hit have importance. For example, 5 can be scored in two ways, by hitting an In-Off Shot followed by a Cannon shot or a Cannon Shot followed by an In-Off shot. A score of 7 can be achieved in three ways – Cannon,In-Off,Cannon Cannon,Cannon,In-Off and In-Off,Cannon,Cannon. Tags: animesh_f, cdqu2014, dynamic-programming, memoization, simple ",https://www.codechef.com/problems/CDQU5,CC
Chef and Good Subsequences ,"Chef is given a sequence of prime numbers A1,A2,…,ANA1,A2,…,ANA_1, A_2, ldots, A_N. This sequence has exactly 2N2N2^N subsequences. A subsequence of A is good if it does not contain any two identical numbers; in particular, the empty sequence is good. Chef has to find the number of good subsequences which contain at most K numbers. Since he does not know much about subsequences, help him find the answer. This number could be very large, so compute it modulo 1,0,0,0071,0,0,0071,0,0,007. Tags: Combinatorics, Dynamic Programming, Observation Mathematics, Algorithms ",https://www.codechef.com/problems/GDSUB,CC
Delivery Man ,"Andy and Bob are the only two delivery men of Pizza-chef store. Today, the store received N orders. It's known that the amount of tips may be different when handled by different delivery man. More specifically, if Andy takes the ith order, he would be tipped Ai dollars and if Bob takes this order, the tip would be Bi dollars. They decided that they would distribute the orders among themselves to maximize the total tip money. One order will be handled by only one person. Also, due to time constraints Andy cannot take more than X orders and Bob cannot take more than Y orders. It is guaranteed that X + Y is greater than or equal to N, which means that all the orders can be handled by either Andy or Bob. Please find out the maximum possible amount of total tip money after processing all the orders. Tags: Greedy, Sorting Algorithms ",https://www.codechef.com/problems/TADELIVE,CC
Choosing Problems ,"Flippy the Bird has proposed n problems for the MCO qualifiers. He has labelled the problems from 1 to n. Fluffy the Squirrel has reviewed the problems, and assigned a difficulty rating di for each problem. The contest problems must have consecutive problem numbers. This means that the contest problems must have labels x, x + 1, ., y for two positive integers x and y. He believes a contest is balanced if there are at least l problems and at most r problems. Additionally, the average difficulty rating of the problems must be at most A. Flippy wants to set A to some real number (which means it might have decimal places) so that Fluffy can choose the problems for the contest in at least k ways, where k is a positive integer. Flippy wants A to be as small as possible. Find the optimal value of A. Tags: binary-search, binary-search-tree, dynamic-programming, zscoder ",https://www.codechef.com/problems/MCO16503,CC
Way Out ,"Oh, no! Chef’s in trouble. He’s got himself stuck in a cave (we don’t know how) and is looking for a way out. The bigger problem is that he needs to get his tractor out of the cave (don't ask why Chef owns a tractor!). He currently faces a large block of height N cells and length N cells, and needs to get his tractor across this block. The block is made up of vertical columns of soil, each of which is one cell long. Each column has a continuous vertical gap, with the ith column having its gap from the lith cell to the hith cell (starting from the bottom, 0-indexing). That is, in the ith column, there is no soil from the lith cell to the hith cell (both inclusive). Chef can build additional gaps by clearing some cells of soil. His tractor has height H, and therefore, he needs to build a horizontal corridor of height H passing through all the columns. That is, some consecutive H rows must have no soil. Please see the figures in the example and explanation sections for more details. Chef is able to clear one cell of soil by spending one unit of energy. Chef is smart, and will figure out a way to build the horizontal corridor while spending the minimum possible amount of energy. To estimate how many of his tasty dishes he will still be able to cook for you tonight, find out what is the minimum possible energy he needs to spend. Tags: Difference Arrays, Segment Trees, Dynamic Programming, Prefix Sum Data Structures, Arrays, Advanced Data Structures, Advanced Tree Structures, Algorithms, Simple Algos ",https://www.codechef.com/problems/WOUT,CC
String Merging ,"For a string S, let's define a function F(S) as the minimum number of blocks consisting of consecutive identical characters in S. In other words, F(S) is equal to 1 plus the number of valid indices i such that Si ≠ Si+1. You are given two strings A and B with lengths N and M respectively. You should merge these two strings into one string C with length N+M. Specifically, each character of C should come either from A or B; all characters from A should be in the same relative order in C as in A and all characters from B should be in the same relative order in C as in B. Compute the minimum possible value of F(C). Tags: String, Dynamic Programming Data Structures, Algorithms ",https://www.codechef.com/problems/STRMRG,CC
Aujasvit and the Circle Game ,"Aujasvit just came up with a new game to play with his friends. N people stand in a circle, each assigned an index from 1 to N in clockwise order. Then the following operation is done N−1N−1N-1 times. The person with the lowest index holds a coin. Then, the coin then moves to the next person clockwise M−1M−1M-1 times. Then, the person who is holding the coin is removed from the circle. The last person remaining after N−1N−1N-1 operations is the winner. Aujasvit has already decided on the integer M to be used in the game. Before inviting people to play his game, Aujasvit wants to know the winner if the game has 1 player, 2 players, 3 players, …, X players. That is, you need to output the winner when N=1,N=2,.,N=XN=1,N=2,.,N=XN = 1, N = 2, ., N = X. Tags: dynamic-programming, easy, exun2021, modular-arithmetic, vishesh_s ",https://www.codechef.com/problems/CIRCLEGAME,CC
Polo the Penguin and the Test ,"He knows that there are N different questions that will be on the tests. For each question i (i = 1..N), he knows C[i] - the number of tests that will contain this question, P[i] - the number of points that he will get for correctly answering this question on each of tests and T[i] - the amount of time (in minutes) that he needs to spend to learn this question. Unfortunately, the amount of free time that Polo has is limited to W minutes. Help him to find the maximal possible total number of points he can get for all tests if he studies for no more than W minutes. Tags: 0-1 Knapsack Algorithms, Dynamic Programming, Knapsack ",https://www.codechef.com/problems/PPTEST,CC
Total Diamonds ,"Chef is so good at programming that he won almost all competitions. With all the prizes, Chef bought a new house. The house looks like a grid of size N (1-indexed) which consists of N × N rooms containing diamonds. For each room, the room number is equal to the sum of the row number and the column number. The number of diamonds present in each room is equal to the absolute difference between the sum of even digits and sum of odd digits in its room number. For example, if the room number is 3216, then the number of diamonds present in that room will be |(2+6)-(3+1)| = 4. You are given the number N. You have to print the total number of diamonds present in Chef's house. Tags: Dynamic Programming Algorithms ",https://www.codechef.com/problems/VK18,CC
Chef and Way ,"After visiting a childhood friend, Chef wants to get back to his home. Friend lives at the first street, and Chef himself lives at the N-th (and the last) street. Their city is a bit special: you can move from the X-th street to the Y-th street if and only if 1 <= Y - X <= K, where K is the integer value that is given to you. Chef wants to get to home in such a way that the product of all the visited streets' special numbers is minimal (including the first and the N-th street). Please, help him to find such a product. Tags: Data Structures, Basic Maths Mathematics ",https://www.codechef.com/problems/CHRL4,CC
Bhallaladeva ,"was an evil king who ruled the kingdom of Maahishmati. He wanted to erect a 100ft golden statue of himself and he looted gold from several places for this. He even looted his own people, by using the following unfair strategy: There are N houses in Maahishmati, and the ith house has Ai gold plates. Each gold plate costs exactly 1 Nimbda, which is the unit of currency in the kingdom of Maahishmati. would choose an integer K, and loots all the houses in several steps. In each step: He would choose a house i which hasn't been looted yet, pay the owner exactly Ai Nimbdas, and take away all the gold plates in that house (Hence, he also ends up looting this house). He would now choose atmost K houses which haven't been looted yet and take away all the gold plates from these houses without paying a single Nimbda (Yes, he takes all of them for free). He repeats the above steps until all the N houses have been looted. Your task is to devise a strategy for to loot the houses in some order, so that the number of nimbdas he has to pay is minimium. You'll also be given multiple values of K (Q of them to be precise), and you need to find the minimum number of nimbdas for each of these values. Tags: Basic Maths, Greedy, Prefix Sum Mathematics, Algorithms, Simple Algos ",https://www.codechef.com/problems/AMR15D,CC
Little Elephant and T-Shirts ,"Little Elephant and his friends are going to a party. Each person has his own collection of T-Shirts. There are 100 different kind of T-Shirts. Each T-Shirt has a unique id between 1 and 100. No person has two T-Shirts of the same ID. They want to know how many arrangements are there in which no two persons wear same T-Shirt. One arrangement is considered different from another arrangement if there is at least one person wearing a different kind of T-Shirt in another arrangement. Tags: DP Bitmask, Bitmasking Advanced Algorithms, Advanced DP, Mathematics, Bit Manipulation ",https://www.codechef.com/problems/TSHIRTS,CC
Art in Digital Age ,"Being a CS student, Ron really don't understand why he has to take a compulsory course called ""Art in Digital Age"". The objective of this course from what his school said is to help the CS students release the stress by doing something new other from coding/programming. The problem is Ron really love coding and he doesn't care about other stuff. This course even gives him more stress. However, like it or not Ron still need to try his best not to let this course ruins his great GPA. Can you help him with his first assignment which is described below. In this assignment, Ron is given an N×N pixels image called sample image. Ron is required to create a copy of the sample image using an simple graphic painting program called SMPaint. Only two types of operation can be used in SMPaint: Init: Make the new image with the specific size, all the pixels of the new image are white. Paint: User gives 5 integers C, U, D, L, R and SMPaint will change colour to C at all the pixels (x, y) such that (U ≤ x ≤ D and L ≤ y ≤ R). The pixel (x, y) is the pixel at the xth row (from the top, 1-indexed) and the yth column (from the left side, 1-indexed). We can see that the Paint operation actually is painting a specific rectangle in the image by one specific colour. The image in the figure 1 can be drawn using 3 calls of the second function if we paint the red rectangle first and then paint two green rectangles. Notice that if a pixel is changed colour several time, it final colour is corresponding to the last time it is painted. This help us save some calls of the second function. For the image in figure 1 we can paint a large green rectangle first and then paint the red rectangle. Your mission is help Ron finish the assignment with using as least as possible number of calls of the second function. Tags: challenge, dec13, dynamic-programming, greedy, heuristic, tuan_adm ",https://www.codechef.com/problems/SMPAINT,CC
Byteland Tours ,"As part of a new program to attract tourists to Byteland, Chef has been placed in charge of organizing a series of bus tours around the city. There are N scenic locations (points on the plane) in Byteland (numbered 0 through N-1), and M bidirectional scenic roads, each of which connects two scenic locations via a straight line. Chef wishes to organize the tours according to the following rules: A tour is defined as sequence of locations, where a tour bus begins at the first location, and moves directly from each location to the next location in the sequence until it reaches the last location. There must be a scenic road between consecutive locations. A tour does not have to start and end at the same location, but it is allowed. A tour cannot visit the same location more than once, with the possible exception of the start/end location. A tour cannot cross itself. That is, none of the roads belonging to a tour may intersect. Each road must be visited by exactly one tour. Setting up tours is expensive, so Chef wishes to minimize the total number of tours. Optimal solutions are not required, but solutions that use fewer tours will score more points (see the scoring section below). However, your solution must use at most (N+M)/2 tours or else it will be judged Wrong Answer. Tags: challenge, david_adm, dynamic-programming, greedy, heuristic, jan14, search ",https://www.codechef.com/problems/TOURBUS,CC
Spheres ,"The first set consists of N upper hemispheres indexed 1 to N and the second has M lower hemispheres indexed 1 to M. The hemispheres in any sequence can have different radii. He is now set out on building spheres using them. To build a sphere of radius R, he must take one upper half of the radius R and one lower half of the radius R. Also, he can put a sphere into a bigger one and create a sequence of nested concentric spheres. But he can't put two or more spheres directly into another one. Examples: If there is a sequence of (D+1) nested spheres, we can call this sequence as a D-sequence. Eugene has to find out how many different X-sequence are possible (1 <= X <= C). An X sequence is different from another if the index of any of the hemisphere used in one X-sequence is different from the other. Eugene doesn't know how to do it, so Chef agreed to help him. Of course, Chef is too busy now and he asks you to help him. Tags: aangairbender, dynamic-programming, easy, oct15 ",https://www.codechef.com/problems/KSPHERES,CC
Barcelona Gameplay Tactics ,"As we all know, F.C. Barcelona is the best soccer team of our era! Their entangling and mesmerizing game style usually translates into very high ball possession, consecutive counter-attack plays and goals. Lots of goals, thanks to the natural talent of their attacker and best player in history, Lionel Andres Messi. However, at the most prestigious tournament of individual teams, the UEFA Champions League, there are no guarantees and believe it or not, Barcelona is in trouble.. They are tied versus Chelsea, which is a very defending team that usually relies on counter-strike to catch opposing teams off guard and we are in the last minute of the match. So Messi decided to settle things down for good and now he is conducting the ball on his teams' midfield and he will start a lethal counter-attack :D After dribbling the 2 strikers from Chelsea, he now finds himself near the center of the field and he won't be able to dribble the entire team on his own, so he will need to pass the ball to one of his teammates, run forward and receive the ball once again to score the final goal. Exactly K players are with him on his counter-attack and the coach, Tito Villanova knows that this counter-attack will end in a goal only if after exactly N passes are performed between the players, Messi ends up with the ball. (Note that the ball only needs to end with Messi after exactly N passes are performed between all the K+1 players, i.e. Messi can receive the ball several times during the N passes. See the 2nd test case explanation for further clarification. ) However, he realized that there are many scenarios possible for this, so he asked you, his assistant coach, to tell him in how many ways can Messi score the important victory goal. So help him!! Tags: Combinatorics, Dynamic Programming Mathematics, Algorithms ",https://www.codechef.com/problems/FCBARCA,CC
Merging Binary Strings ,"You have two binary strings A and B, both of length N. You have to merge both the binary strings to form a new binary string C of length 2⋅N2⋅N2 cdot N. The relative order of characters in the original binary strings A and B should not change in the binary string C. For example, if A=01011A=01011A = {color{blue}01011} and B=10100B=10100B = {color{red}10100}, one possible way to merge them to form C is: C=0101101100C=0101101100C = {color{blue}0}{color{red}1}{color{red}0}{color{blue}1}{color{red}1}{color{blue}0}{color{blue}1}{color{blue}1}{color{red}0}{color{red}0}. Minimize the number of inversions in the merged binary string C. As a reminder, a pair of indices (i,j)(i,j)(i, j) is an inversion for binary string C if and only if 1≤i<j≤|C|1≤i<j≤|C|1 leq i lt j leq |C|, Ci=1Ci=1C_i = 1 and Cj=0Cj=0C_j = 0. Tags: dynamic-programming, easy-medium, jeevanjyot, start22 ",https://www.codechef.com/problems/MERGEBS,CC
Count Sequences ,"Given three positive integers N, L and R, find the number of non-decreasing sequences of size at least 1 and at most N, such that each element of the sequence lies between L and R, both inclusive. Print the answer modulo 106+3. Tags: Permutations & Combinations Mathematics, Combinatorics ",https://www.codechef.com/problems/CSEQ,CC
Subtraction Game 2 ,"Chef is playing a game on a sequence of N positive integers, say A1,A2,.ANA1,A2,.ANA_1, A_2, . A_N The game is played as follows. If all the numbers are equal, the game ends. Otherwise Select two numbers which are unequal Subtract the smaller number from the larger number Replace the larger number with the result from above Chef has already figured out that the game always terminates. He also knows, for a given sequence of integers, the game will always terminate on the same value, no matter how the game is played. Chef wants you to simulate the game for him and tell him if the game terminates on 1. In fact, there may be many such games. Given a sequence of integers Chef wants to know the number of sub-sequences of the given sequence, for which, playing the above game on the subsuquence will terminate on 1. A sub-sequence can be obtained from the original sequence by deleting 0 or more integers from the original sequence. See the explanation section for clarity. Tags: GCD, Top-down Mathematics, Number Theory, Algorithms, Dynamic Programming, DP Approach ",https://www.codechef.com/problems/AMSGAME2,CC
K-Subarrays ,"You are given two integers N and K, and an array A of N integers. You have to choose K disjoint non-empty subarrays such that the score is maximized. The score is calculated as follows: Score=∑i=1KSum[i]⋅i,Score=∑i=1KSum[i]⋅i, mathrm{Score}= sum_{i=1}^{K} mathrm{Sum}[i] cdot i, where Sum[i]Sum[i]mathrm{Sum}[i] denotes sum of elements of i-th subarray. By the i-th subarray, we mean the i-th one in the order from left to right. Find the maximum score that can be achieved. Note: The subarrays are not required to cover the whole array. It is allowed for some elements of A to belong to none of the subarrays. Tags: 1D Arrays, Bottom-up, Kadane Algorithm Data Structures, Arrays, Algorithms, Dynamic Programming, DP Approach, Greedy ",https://www.codechef.com/problems/CHESUB,CC
Alok-nath and His Sanskars ,"Alok-nath is man of equality. He needs your help to divide his “sanskars” evenly amongst all his followers. By doing this, Alok-nath can create equality amongst his followers and he'll be called a true “sanskari”. Alok-nath has N sanskars, and K followers. Each sanskar is given a numerical value which shows its intensity. Your task is to determine whether it is possible to allocate all the sanskars to followers in such a way that the sum of intensities of the sanskars allocated to each follower is equal. Note : A sanskar can be allocated to only one of the followers. Tags: 2D Arrays, DP Bitmask, Bitmasking Data Structures, Arrays, Advanced Algorithms, Advanced DP, Mathematics, Bit Manipulation ",https://www.codechef.com/problems/SANSKAR,CC
